N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
193;Xosé Manuel González;O pirata Pata de Lata;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;C
194;Perica Patacrúa;O gato comilão;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;;
195;Maurice Sendak;Onde vivem os monstros;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Pré-Escolar;B
196;Mercer Mayer;Um pesadelo no meu armário;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Pré-Escolar;C
197;Oliver  Jeffers;O incrível rapaz que comia livros;;Orfeu Negro;[Lisboa];03/10/2011;Compra;;;;Pré-Escolar;B
198;Maria Ferretti Rodari, Poala Rodari;O que é preciso?;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;D
199;Mo Willems;Leonardo, o monstro terrível;;Orfeu Negro;Lisboa;03/10/2011;Compra;;;;Pré-Escolar;B
200;J. Patrick Lewis;A casa;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Pré-Escolar;B
201;il. Joana Quental;Andakibebé;;Companhia de Música Teatral;[S.l.];03/10/2011;Compra;;;;;
202;Diana Gomes;ABC - aprendo as letras;;Papa-Letras;Lisboa;03/10/2011;Compra;;;;;
203;Orianne Lallemand;Mamã maravilha;;Presença;Barcarena;03/10/2011;Compra;;;;;
204;Selma Mandine;Beijinhos beijinhos;;Presença;Barcarena;03/10/2011;Compra;;;;;
205;António Torrado;O macaco de rabo cortado;;Civilização;Porto;03/10/2011;Compra;;;;;
206;Carlos Campos;Dragões, duendes e outros bichos;;Nova Gaia;[Lisboa];03/10/2011;Compra;;;;;
207;trad. e adap. Maria João Rodrigues;Cinderela;;Girassol;Abrunheira;03/10/2011;Compra;;;;;
208;trad. e adap. Maria João Rodrigues;O Patinho Feio;;Girassol;Abrunheira;03/10/2011;Compra;;;;;
209;trad. e adap. Maria João Rodrigues;Capuchinho Vermelho;;Girassol;Abrunheira;03/10/2011;Compra;;;;;
210;Fern. Alexander;Uma aventura smurfante;;Asa;Alfragide;03/10/2011;Compra;;;;;
211;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;1;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
212;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;1;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
213;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira ;2;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
214;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;2;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
215;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;3;Editorial Enciclopédia;Lisbo;03/10/2011;Oferta;;;;;
216;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;4;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
217;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;4;Editorial Enciclopédia;Lisbo;03/10/2011;Oferta;;;;;
218;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;5;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
219;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;5;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
220;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;6;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
221;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;6;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
222;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;7;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
223;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;7;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
224;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;8;Editorial Enciclopédia;lisboa;03/10/2011;Oferta;;;;;
225;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;8;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
226;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;9;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
227;colab. A. Casanova… [et al.];Grande Enciclopédia Portuguesa e Brasileira : actualização;9;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
228;dir. e comp. António Mendes Correia… [et al.];Grande Enciclopédia Portuguesa e Brasileira;10;Editorial Enciclopédia;Lisboa;03/10/2011;Oferta;;;;;
